time;Potenza [kW]
1505;2258.00005
1506;2221.1
1507;2273.30005
1508;2359.35
1509;2243.6
1510;2080.0999
1511;1870.59995
1512;1674.80005
1513;1499.45005
1514;1411.95
1515;1358.25
1516;1348.1
1517;1354.2
1518;1425.7
1519;1646.84995
1520;1915.84995
1521;2244.9
1522;2367.5
1523;2316.95
1524;2288.7
1525;2182.30005
1526;2111.15
1527;2155.5
1528;2182.14995
1529;2185.24995
1530;2169.55005
1531;2261.19995
1532;2424.8
1533;2293.75
1534;2115.05
1535;1887.4
1536;1714.60005
1537;1547.2001
1538;1440.55005
1539;1365.45
1540;1345.99995
1541;1358.75005
1542;1432.30005
1543;1673.89995
1544;1955.2
1545;2229.75
1546;2348.10005
1547;2299.05005
1548;2282.75
1549;2178.45005
1550;2123.25
1551;2168.45005
1552;2237.55
1553;2263.45
1554;2294.9
1555;2350.74995
1556;2450.65
1557;2319.5
1558;2146.2
1559;1923.20005
1560;1712.75
1561;1543.45
1562;1425.4
1563;1363.89995
1564;1335.5
1565;1348.25
1566;1406.85
1567;1636.80005
1568;1960.54995
1569;2277.5
1570;2392.70005
1571;2382.99995
1572;2378.89995
1573;2212.75005
1574;2150.6
1575;2171.05005
1576;2218.74995
1577;2227.55
1578;2201.95
1579;2262.25
1580;2382.3
1581;2243.6
1582;2094.75005
1583;1840.64995
1584;1674.4
1585;1511.4
1586;1425.65
1587;1350.65
1588;1348.75
1589;1371.05005
1590;1420.15
1591;1652.25
1592;1907.05
1593;2223.05
1594;2288.9
1595;2264.15005
1596;2216.10005
1597;2136.54995
1598;2051.6
1599;2073.6
1600;2160.70005
1601;2180.55005
1602;2176.59995
1603;2215.55005
1604;2388.15
1605;2254.3
1606;2070.45
1607;1870.1
1608;1704.95
1609;1550.30005
1610;1425.09995
1611;1342.95005
1612;1313.2
1613;1297.6
1614;1319.69995
1615;1427.85
1616;1540.95
1617;1695.2
1618;1794.55
1619;1778.35
1620;1733.35
1621;1666.20005
1622;1581.75005
1623;1542.25
1624;1540
1625;1514.35
1626;1576.00005
1627;1709.75005
1628;1959.8001
1629;1874.65
1630;1725.1
1631;1568.4
1632;1442.2
1633;1308.5
1634;1213.35005
1635;1147.9
1636;1108.9
1637;1094.1
1638;1117.4
1639;1174.2
1640;1174.05005
1641;1281.54995
1642;1372.15
1643;1478.89995
1644;1486.6
1645;1528.8
1646;1466.24995
1647;1390.35005
1648;1392.59995
1649;1433.35005
1650;1460.75
1651;1576.24995
1652;1766.30005
1653;1743.50005
1654;1652.7
1655;1499.55
1656;1351.09995
1657;1217.59995
1658;1145
1659;1097.7
1660;1090.35
1661;1107.35
1662;1201.95
1663;1472.09995
1664;1773.35
1665;2085.65
1666;2189.04995
1667;2149.65
1668;2170.95
1669;2117.29995
1670;2061.19995
1671;2164.95005
1672;2192.69995
1673;2214.79995
1674;2182.84995
1675;2206.4
1676;2339.65
1677;2227.5
1678;2069.55
1679;1853.04995
1680;1665.64995
1681;1482.8
1682;1371.60005
1683;1331.9
1684;1329.44995
1685;1350.45005
1686;1435.5
1687;1668.70005
1688;1950.85
1689;2300.04995
1690;2405.89995
1691;2378.15
1692;2326.09995
1693;2184.65005
1694;2099.7
1695;2173.59995
1696;2205.15
1697;2216.75
1698;2173.75
1699;2218.49995
1700;2425.95
1701;2310.54995
1702;2153.44995
1703;1914.5
1704;1737.35
1705;1573.19995
1706;1450.34995
1707;1390.3
1708;1383.79995
1709;1383
1710;1456.20005
1711;1699.39995
1712;1986.85
1713;2301.35
1714;2352.99995
1715;2316.05
1716;2339.35
1717;2218.09995
1718;2160.19995
1719;2199.89995
1720;2258.4
1721;2287.9
1722;2281.49995
1723;2318.6
1724;2477.09995
1725;2342
1726;2192.95
1727;1955.5
1728;1750.4
1729;1573.8
1730;1457.20005
1731;1401.7
1732;1389
1733;1404.7
1734;1470.44995
1735;1708.85
1736;1993.85
1737;2279.25005
1738;2358.3
1739;2342.5
1740;2309.24995
1741;2215.30005
1742;2151.19995
1743;2212.70005
1744;2237.20005
1745;2251.85005
1746;2258.25
1747;2302.10005
1748;2490.04995
1749;2361.9
1750;2192.99995
1751;1931.95
1752;1732.54995
1753;1561.5
1754;1447.85
1755;1392.45
1756;1361.69995
1757;1375.45005
1758;1449.55005
1759;1642.14995
1760;1925.35
1761;2214.99995
1762;2285.00005
1763;2262.65
1764;2244.10005
1765;2131.09995
1766;2067.39995
1767;2099.1
1768;2147.60005
1769;2133.50005
1770;2126.6
1771;2189.3
1772;2372.8
1773;2269.15005
1774;2098.65
1775;1877.4499
1776;1696.6
1777;1537.15005
1778;1411.85
1779;1345.35
1780;1306.1
1781;1296.2
1782;1304
1783;1400.40005
